country|quarter|coviddeaths|fullvax|econsupport|gci|gci_institutions|population|grocerymob|retailmob|workmob|stringency|rgdpqoqsa
Australia|2021Q1|0.0|6.240577702759099e-05|48.611111111111114|78.74662637|72.94070418|25.638652|-0.9|-11.588888888888889|-13.355555555555556|57.86888888888889|1.78333639
Australia|2021Q2|3.900361064224437e-05|0.006722272294190817|0.0|78.74662637|72.94070418|25.638652000000004|5.065934065934066|-7.923076923076923|-11.087912087912088|52.61978021978022|0.82140269
Australia|2021Q3|0.015640447867539993|0.08118445540740597|0.0|78.74662637|72.94070418|25.638652|4.423913043478261|-21.304347826086957|-21.315217391304348|70.0708695652174|-1.82037515
Australia|2021Q4|0.03673868962189805|0.22845389843428585|0.0|78.74662637|72.94070418|25.640042793478262|11.065217391304348|-5.380434782608695|-17.119565217391305|65.62228260869566|3.6231754999999994
Austria|2020Q1|0.015054380015692505|0.0|14.148351648351648|76.60913087|73.53739093|8.901064|-3.087912087912088|-10.087912087912088|-10.351648351648352|18.762307692307694|-2.54823806
Austria|2020Q2|0.07594597679558308|0.0|87.5|76.60913087|73.53739093|8.901064|-17.12087912087912|-41.65934065934066|-34.65934065934066|63.13538461538461|-11.38796816
Austria|2020Q3|0.02067168599169717|0.0|87.5|76.60913087|73.53739093|8.901064|-5.4021739130434785|-7.108695652173913|-24.02173913043478|38.04217391304348|10.81922263
Austria|2020Q4|0.7293180209675563|0.0|96.46739130434783|76.60913087|73.53739093|8.90140747826087|-15.054347826086957|-43.141304347826086|-30.91304347826087|68.18804347826087|-1.8812324500000002
Austria|2021Q1|0.4386149529412502|0.019107401778461607|100.0|76.60913087|73.53739093|8.932664|-13.966666666666667|-53.022222222222226|-31.58888888888889|78.18155555555556|-0.47800534
Austria|2021Q2|0.1865065113833902|0.16181734810578344|100.0|76.60913087|73.53739093|8.932664|3.087912087912088|-31.417582417582416|-20.582417582417584|70.5642857142857|4.33151099
Austria|2021Q3|0.048809627228786394|0.5587381323197648|100.0|76.60913087|73.53739093|8.932664|12.0|-2.5217391304347827|-19.08695652173913|60.08847826086956|3.38768654
Austria|2021Q4|0.37042897371895933|0.6862030270477084|100.0|76.60913087|73.53739093|8.933166880434785|4.869565217391305|-25.5|-23.27173913043478|60.56891304347826|-0.7798278500000001
Belgium|2020Q1|0.06134360239739499|0.0|18.13186813186813|76.38012249|69.46203893|11.492641|-2.065934065934066|-12.868131868131869|-11.285714285714286|20.614285714285714|-3.1525246
Belgium|2020Q2|0.786764330322334|0.0|87.5|76.38012249|69.46203893|11.492641|-14.978021978021978|-46.61538461538461|-40.62637362637363|71.75296703296704|-11.63573959
Belgium|2020Q3|0.023406282333190427|0.0|67.1195652173913|76.38012249|69.46203893|11.492641000000003|-7.130434782608695|-11.326086956521738|-27.47826086956522|54.05608695652174|11.894648289999997
Belgium|2020Q4|0.8276412755152943|0.0|87.77173913043478|76.38012249|69.46203893|11.492951836956523|-4.663043478260869|-39.08695652173913|-29.934782608695652|58.3345652173913|-0.11509188999999999
Belgium|2021Q1|0.30274524317612395|0.01515375344212141|78.05555555555556|76.38012249|69.46203893|11.521238000000002|-2.311111111111111|-40.18888888888889|-24.58888888888889|62.406777777777776|1.3167187
Belgium|2021Q2|0.1872194637416569|0.12447273461411003|75.0|76.38012249|69.46203893|11.521237999999999|13.659340659340659|-17.21978021978022|-18.747252747252748|57.25857142857143|1.71140847
Belgium|2021Q3|0.037235581801191846|0.4929765360285066|75.0|76.38012249|69.46203893|11.521238|14.91304347826087|5.184782608695652|-23.032608695652176|47.03293478260869|2.10191255
Belgium|2021Q4|0.23685608876619577|0.5966492505382415|75.0|76.38012249|69.46203893|11.521920282608695|16.82608695652174|-1.934782608695652|-20.33695652173913|46.9245652173913|0.4265654
Brazil|2020Q1|0.0009564727568840164|0.0|4.1208791208791204|60.929467720000005|48.05442926|210.147125|-0.21978021978021978|-8.043956043956044|-0.6153846153846154|16.942967032967033|-2.44262751
Brazil|2020Q2|0.28352039376170785|0.0|49.72527472527472|60.929467720000005|48.05442926|210.16480156043954|-8.692307692307692|-51.824175824175825|-27.395604395604394|77.64978021978023|-8.76949411
Brazil|2020Q3|0.39803416476757564|0.0|50.0|60.92946772|48.05442926|211.755692|7.706521739130435|-30.48913043478261|-11.206521739130435|73.7641304347826|7.8920702899999995
Brazil|2020Q4|0.240815250434921|0.0|47.82608695652174|60.92946772|48.05442926|211.755692|19.347826086956523|-18.043478260869566|-4.0978260869565215|60.90086956521739|3.1088257
Brazil|2021Q1|0.6000594307519251|0.0002925541193952888|1.9444444444444444|60.92946772|48.05442926|211.75569200000004|8.366666666666667|-32.08888888888889|-9.522222222222222|69.496|1.08567765
Brazil|2021Q2|0.9271764324094667|0.0035389791811884152|12.5|60.929467720000005|48.05442926|211.77285625274726|25.0989010989011|-25.560439560439562|-2.010989010989011|62.87582417582417|-0.21653683000000004
Brazil|2021Q3|0.3682020875920157|0.010832531293860794|16.57608695652174|60.92946772|48.05442926|213.31763900000004|39.16304347826087|-9.108695652173912|10.402173913043478|56.33902173913043|0.06353383
Brazil|2021Q4|0.10454831632558992|0.02358107854362667|25.0|60.92946772|48.05442926|213.31763900000004|45.369565217391305|0.5652173913043478|12.728260869565217|55.43228260869566|0.66221359
