country|coviddeaths|fullvax|econsupport|gci|gci_institutions|population|grocerymob|retailmob|workmob|stringency|rgdpqoqsa
Argentina|2.591403995093569|0.19332324796233152|51.19699042407661|57.20132859|49.85289274|45.158628073871405|-2.715458276333789|-34.27359781121751|-11.140902872777017|70.4318194254446|0.7387183466757867
Australia|0.08802772467714405|0.3164230319129102|35.191518467852255|78.74662637|72.94070418|25.58299551983584|2.2544459644322847|-13.127222982216143|-15.336525307797537|58.7183584131327|0.5182966673050616
Austria|1.885350129042915|1.4258659092517183|85.73871409028727|76.60913087|73.53739093|8.916948904240767|-4.3023255813953485|-26.73187414500684|-24.299589603283174|57.16010943912449|0.19859144939808487
Belgium|2.4632118680533823|1.2292522746229795|70.46853625170999|76.38012249|69.46203893|11.50704492886457|1.8043775649794802|-20.432284541723668|-24.507523939808483|52.27987688098495|0.33495208300957585
Brazil|2.923312548800086|0.03824514313807117|26.043091655266757|60.92946772|48.05442926|211.7526955129959|17.08891928864569|-21.768809849521205|-3.924760601915185|59.17430916552667|0.18680473771545836
Bulgaria|4.470144896110065|0.5691069589965811|61.83310533515732|64.8950107|56.79991256|6.933884934336525|5.976744186046512|-16.352941176470587|-21.236662106703147|43.9577291381669|0.18339141737346104
Canada|0.7991875701000691|0.34358542890552807|50.35909712722298|79.59134442|74.07641648|37.98212321477428|-0.016415868673050615|-17.235294117647058|-28.266757865937073|63.93176470588236|0.16564593105335174
Chile|2.014939923648517|0.8816461308761545|58.190834473324216|70.53834933|63.893067640000005|19.390403729138164|-10.94938440492476|-33.16142270861833|-18.694938440492475|66.24612859097127|1.594744440259918
Colombia|2.596459030557105|0.10505868836895527|65.18467852257182|62.73161261|49.25432433999999|49.88564531874145|1.9261285909712722|-25.233926128590973|-15.243502051983585|62.461573187414494|1.1333911516689468
Croatia|3.097462612572082|1.2893064669143806|50.632694938440494|61.93813062|51.77383323|4.052031180574555|12.20109439124487|-6.614227086183311|-17.51846785225718|43.103077975376195|0.4726803737619699
Czech Republic|3.376875952383664|1.064567626769014|60.27701778385773|70.85279934|60.88830825000001|10.6976101874145|8.993160054719562|-18.75923392612859|-17.247606019151846|50.35039671682627|-0.054530029261285834
Denmark|0.5626095878251558|2.4339651067054042|50.17099863201094|81.17489789|77.39979262|5.8314614774281806|-1.2024623803009575|-3.4500683994528045|-21.644322845417236|47.557865937072506|0.7942566659644322
Estonia|1.452704161638397|8.3905111607975|39.77428180574555|70.90713997|70.22826735|1.3294816703146375|6.270861833105335|-7.901504787961696|-20.19151846785226|38.39990424076607|1.0572918053214775
Finland|0.3098892583983932|0.25841588219870165|64.53488372093024|80.24562972|81.21625946|5.529568079343365|2.4678522571819426|-11.779753761969904|-22.507523939808483|40.94316005471956|0.31500716559507524
France|1.8468117987158708|0.1877004803786179|50.23939808481532|78.80623971|70.03656263|67.54063264842682|2.4746922024623803|-23.56497948016416|-24.796169630642954|59.41432284541724|0.45117477682626556
Germany|1.3454194188940873|0.1546454376901586|36.627906976744185|81.79653719|72.38547748|83.18613543091655|3.960328317373461|-19.49658002735978|-18.48700410396717|59.41941176470588|0.008416473351573178
Ghana|0.041908311176089175|0.0013024191945758602|8.207934336525307|51.19611019|54.38782151|30.74584957592339|29.500683994528043|5.660738714090288|-7.928864569083447|42.27820793433652|0.7255602484131327
Greece|1.992406178482474|1.150318102483571|71.88782489740082|62.58073012|50.51004818|10.448219529411766|20.651162790697676|-17.082079343365255|-20.77838577291382|64.124268125855|0.2588694163748289
Hong Kong|0.02843510631311099|1.3378919045250717|78.07797537619699|83.142025|77.58023589|7.473501367989056|22.21203830369357|-16.170998632010942|-11.28454172366621|60.317537619699046|0.22161422708618336
Hungary|4.010758576223425|0.952796481630736|43.006155950752394|65.07507077|55.67443013|9.771085775649794|5.105335157318741|-7.759233926128591|-18.593707250341996|48.26320109439125|0.7177838577291382
Ireland|1.1904842704221699|2.8747719693012415|87.68809849521203|75.11621341|72.97659545|4.968223529411765|3.471956224350205|-28.054719562243502|-31.419972640218877|58.4212585499316|1.927298729507524
Israel|0.8931318438087728|1.994099581200018|73.70041039671683|76.74390743|65.64441269|9.21547537619699|1.768809849521204|-21.991792065663475|-23.640218878248973|56.97854993160055|1.4252038142681258
Italy|2.2707667272330845|0.2238607473131643|64.39808481532148|71.52828147|58.55356128999999|60.50589962790698|-3.0930232558139537|-21.79890560875513|-23.800273597811216|68.61623803009576|0.29361479930232565
Japan|0.14624271957803073|0.08751281691008421|83.07113543091656|82.27121845|71.67305731|125.89679206566349|1.9288645690834474|-11.610123119015048|-13.132694938440492|40.696662106703144|0.03390191604651151
Kazakhstan|0.9665249113831272|0.3192888263450319|16.261969904240765|62.94170651|55.61505878|18.755834975376196|1.20109439124487|-16.632010943912448|-22.880984952120382|65.18028727770178|0.28560186718194264
Kenya|0.11306800378166008|0.008352693793680872|29.75376196990424|54.14461410999999|54.65351859|47.56429599999999|15.242134062927496|3.0041039671682626|-2.9343365253077973|57.012735978112175|1.2178632019562243
Latvia|2.4114123936108967|5.262178471187669|53.3515731874145|66.98044354|59.28066449|1.9004152216142272|3.244870041039672|-13.451436388508892|-21.752393980848154|46.89645690834473|0.19389047418604657
Lithuania|2.646224096406632|4.332050490077568|65.30437756497948|68.35161275|63.26348941|2.7948851039671685|21.247606019151846|-24.937072503419973|-17.51846785225718|45.887797537619704|0.6335099917510261
Luxembourg|1.4522189847712204|0.2312951963827139|59.524623803009575|77.02812605|75.89938924|0.6304394897400821|-2.875512995896033|-24.35704514363885|-26.158686730506155|44.45515731874145|0.8385919064021887
